,Amateur Team,GP,Name,Overall Pick,Year
0,London (OHL),1044,Rob Ramage,1,1979
1,Portland (WHL),608,Perry Turnbull,2,1979
2,Sudbury (OHL),1018,Mike Foligno,3,1979
3,Niagara Falls (OHL),1432,Mike Gartner,4,1979
4,Sherbrooke (QMJHL),876,Rick Vaive,5,1979
5,Sault Ste. Marie (OHL),570,Craig Hartsburg,6,1979
6,Portland (WHL),876,Keith Brown,7,1979
7,Verdun (QMJHL),1612,Raymond Bourque,8,1979
8,Brandon (WHL),1009,Laurie Boschman,9,1979
9,Oshawa (OHL),460,Tom McCarthy,10,1979
10,Minnesota (WCHA),1070,Mike Ramsey,11,1979
11,Kitchener (OHL),648,Paul Reinhart,12,1979
12,Kitchener (OHL),631,Doug Sulliman,13,1979
13,Brandon (WHL),1016,Brian Propp,14,1979
14,Brandon (WHL),1222,Brad McCrimmon,15,1979
15,Kingston (OHL),1098,Jay Wells,16,1979
16,Lethbridge (WHL),731,Duane Sutter,17,1979
17,Brandon (WHL),238,Ray Allison,18,1979
18,Sherbrooke (QMJHL),293,Jimmy Mann,19,1979
19,Quebec (QMJHL),1089,Michel Goulet,20,1979
20,Quebec (QMJHL),1254,Kevin Lowe,21,1979
21,Portland (WHL),298,Blake Wesley,22,1979
22,Vancouver (WCHL),31,Errol Rausse,23,1979
23,Seattle (WHL),552,Tomas Jonsson,24,1979
24,MoDo Ornskoldsvik (Sweden),998,Brent Ashton,25,1979
25,Saskatoon (WHL),476,Gaston Gingras,26,1979
26,Hamilton (OHL),190,Tim Trimper,27,1979
27,Peterborough (OHL),223,Dean Hopkins,28,1979
28,London (OHL),915,Mark Hardy,29,1979
29,Montreal (QMJHL),95,Paul Marshall,30,1979
30,Brantford (OHL),691,Lindy Ruff,31,1979
31,Lethbridge (WHL),350,Pat Riggin,32,1979
32,London (OHL),450,Ed Hospodar,33,1979
33,Ottawa (OHL),157,Pelle Lindbergh,34,1979
34,AIK Solna (Sweden),23,Doug Morrison,35,1979
35,Lethbridge (WHL),651,Mats Naslund,36,1979
36,Brynas Gavle (Sweden),322,Billy Carroll,37,1979
37,London (OHL),77,Stu Smith,38,1979
38,Peterborough (OHL),1009,Dave Christian,39,1979
39,North Dakota (WCHA),1407,Dale Hunter,40,1979
40,Sudbury (OHL),1099,Neal Broten,41,1979
41,Minnesota (WCHA),183,Craig Levie,42,1979
42,Edmonton (WHL),1318,Guy Carbonneau,43,1979
43,Chicoutimi (QMJHL),68,Jody Gage,44,1979
44,Kitchener (OHL),12,Ken Ellacott,45,1979
45,Edmonton (WHL),1756,Mark Messier,46,1979
46,Peterborough (OHL),380,Bill Gardner,47,1979
47,St. Albert (AJHL),400,John Paul Kelly,48,1979
48,Peterborough (OHL),69,Norm Aubin,49,1979
49,New Westminster (WCHL),30,Bennett Wolf,50,1979
50,Verdun (QMJHL),815,Tim Hunter,51,1979
51,Kitchener (OHL),255,Jacques Cloutier,52,1979
52,Prince Albert (WHL),373,Lindsay Carson,53,1979
53,Seattle (WHL),662,Keith Crowder,54,1979
54,Trois-Rivieres (QMJHL),407,Rick Wamsley,55,1979
55,Billings,291,Roland Melanson,56,1979
56,Peterborough (OHL),223,Don Nachbaur,57,1979
57,Brantford (OHL),2,Bill Whelton,58,1979
58,Windsor (OHL),503,Lee Norwood,59,1979
59,Billings,66,Kevin Maxwell,60,1979
60,North Dakota (WCHA),2,Steve Peters,61,1979
61,Oshawa (OHL),246,Bob Crawford,62,1979
62,North Dakota (WCHA),928,John Ogrodnick,63,1979
63,Oshawa (OHL),3,Harvie Pocza,64,1979
64,Cornwall (OHL),1129,Glenn Anderson,65,1979
65,New Westminster (WCHL),48,John Gibson,66,1979
66,Billings,58,Vincent Tremblay,67,1979
67,Wawa,519,Gilles Hamel,68,1979
68,Denver (WCHA),711,Jim Peplinski,69,1979
69,Sherbrooke (QMJHL),521,Pat Conacher,70,1979
70,Niagara Falls (OHL),35,Don Gillen,71,1979
71,Quebec (QMJHL),432,Larry Melnyk,72,1979
72,Brantford (OHL),2,Dave Orleski,73,1979
73,Laval (QMJHL),595,Ray Neufeld,74,1979
74,Toronto (OHL),12,Pat Daley,75,1979
75,Saskatoon (WHL),650,Anton Stastny,76,1979
76,Brandon (WHL),13,Gary Dillon,77,1979
77,New Westminster (WCHL),365,Mark Reeds,78,1979
78,New Westminster (WCHL),291,Joe Paterson,79,1979
79,Barrie (OHL),106,Tim Tookey,80,1979
80,Edmonton (WHL),772,Dirk Graham,81,1979
81,Montreal (QMJHL),12,Jim Dobson,82,1979
82,Slovan Bratislava (KHL),3,Jim Brown,83,1979
83,Vancouver (WCHL),68,Frank Nigro,84,1979
84,Toronto (OHL),19,Nick Ricci,85,1979
85,Peterborough (OHL),524,Alan Haworth,86,1979
86,London (OHL),208,Thomas Eriksson,87,1979
87,Portland (WHL),86,Marco Baron,88,1979
88,Regina (WHL),2,Yvan Joly,89,1979
89,Portland (WHL),152,Mark Renaud,90,1979
90,Simcoe,950,Thomas Steen,91,1979
91,Notre Dame (CCHA),274,Pierre Lacroix,92,1979
92,London (OHL),3,Mike Toal,93,1979
93,Niagara Falls (OHL),22,Bob Attwell,94,1979
94,Sherbrooke (QMJHL),153,Greg Theberge,95,1979
95,Boissevain,914,Doug Crossman,96,1979
96,Ottawa (OHL),12,Bill McCreary,97,1979
97,Djurgarden (Sweden),210,Marc Chorney,98,1979
98,Montreal (QMJHL),14,Rick Knickle,99,1979
99,Ottawa (OHL),2,Gord Williams,100,1979
100,Burlington (OJHL),897,Mike Krushelnyski,101,1979
101,Niagara Falls (OHL),741,Tim Watters,102,1979
102,Leksand (Sweden),1,Blair Barnes,103,1979
103,Trois-Rivieres (QMJHL),,,104,1979
104,Portland (WHL),,,105,1979
105,Peterborough (OHL),,,106,1979
106,Verdun (QMJHL),,,107,1979
107,Peterborough (OHL),,,108,1979
108,Peterborough (OHL),,,109,1979
109,Port Dover,,,110,1979
110,Sault Ste. Marie (OHL),,,111,1979
111,Ottawa (OHL),,,112,1979
112,Winnipeg (WHL),,,113,1979
113,Colgate (ECAC),,,114,1979
114,North Dakota (WCHA),,,115,1979
115,Brandon (WHL),,,116,1979
116,Williams Lake,,,117,1979
117,Niagara Falls (OHL),,,118,1979
118,Lethbridge (WHL),,,119,1979
119,Montreal (QMJHL),,,120,1979
120,New Hampshire (ECAC),,,121,1979
121,Toronto (OHL),,,122,1979
122,Winnipeg (WHL),,,123,1979
123,Michigan Tech (WCHA),,,124,1979
124,Toronto (OHL),,,125,1979
125,Windsor (OHL),,,126,1979
