,Assists,GP,Goals,Name,Points,Year
0,,,,Oleg Petrov,,1999
1,,,,Paul Di Pietro,,1999
2,,,,Todd Elik,,1999
3,,,,Daniel Marois,,1999
4,,,,Mike Richard,,1999
5,,,,Dave McLlwain,,1999
6,,,,Petteri Nummelin,,1999
7,,,,Peter Jaks,,1999
8,,,,Chris Lindberg,,1999
9,,,,Kevin Todd,,1999
10,,,,Wes Walz,,1999
11,,,,Chris Tancill,,1999
12,,,,Dan Hodgson,,1999
13,,,,Sandy Jeannin,,1999
14,,,,Gian-Marco Crameri,,1999
15,,,,Reto von Arx,,1999
16,,,,Claudio Micheli,,1999
17,,,,Kai Nurminen,,1999
18,,,,Mario Doyon,,1999
